Label,Code
Cedar Waxwing,Cedar Waxwing
Phainopepla,Phainopepla
Scaly-breasted Munia,Scaly-breasted Munia
House Sparrow,House Sparrow
American Pipit,American Pipit
House Finch,House Finch
Purple Finch,Purple Finch
Purple Finch (Western),Purple Finch (Western)
House/Purple Finch,House/Purple Finch
Red Crossbill,Red Crossbill
Pine Siskin,Pine Siskin
Lesser Goldfinch,Lesser Goldfinch
Lawrence's Goldfinch,Lawrence's Goldfinch
American Goldfinch,American Goldfinch
new world goldfinch sp.,new world goldfinch sp.
finch sp.,finch sp.
Chipping Sparrow,Chipping Sparrow
Lark Sparrow,Lark Sparrow
Lark Bunting,Lark Bunting
Fox Sparrow,Fox Sparrow
Fox Sparrow (Sooty),Fox Sparrow (Sooty)
Fox Sparrow (Slate-colored),Fox Sparrow (Slate-colored)
Dark-eyed Junco,Dark-eyed Junco
Dark-eyed Junco (Oregon),Dark-eyed Junco (Oregon)
White-crowned Sparrow,White-crowned Sparrow
White-crowned Sparrow (Gambel's),White-crowned Sparrow (Gambel's)
White-crowned Sparrow (Yellow-billed),White-crowned Sparrow (Yellow-billed)
White-crowned Sparrow (pugetensis),White-crowned Sparrow (pugetensis)
Golden-crowned Sparrow,Golden-crowned Sparrow
White-throated Sparrow,White-throated Sparrow
Vesper Sparrow,Vesper Sparrow
Savannah Sparrow,Savannah Sparrow
Savannah Sparrow (Belding's),Savannah Sparrow (Belding's)
Song Sparrow,Song Sparrow
Song Sparrow (heermanni Group),Song Sparrow (heermanni Group)
Lincoln's Sparrow,Lincoln's Sparrow
California Towhee,California Towhee
Spotted Towhee,Spotted Towhee
Spotted Towhee (oregonus Group),Spotted Towhee (oregonus Group)
new world sparrow sp.,new world sparrow sp.
Yellow-breasted Chat,Yellow-breasted Chat
Yellow-headed Blackbird,Yellow-headed Blackbird
Bobolink,Bobolink
Western Meadowlark,Western Meadowlark
Orchard Oriole,Orchard Oriole
Orchard Oriole (Orchard),Orchard Oriole (Orchard)
Hooded Oriole,Hooded Oriole
Orchard/Hooded Oriole,Orchard/Hooded Oriole
Bullock's Oriole,Bullock's Oriole
Baltimore Oriole,Baltimore Oriole
new world oriole sp.,new world oriole sp.
Red-winged Blackbird,Red-winged Blackbird
Tricolored Blackbird,Tricolored Blackbird
Brown-headed Cowbird,Brown-headed Cowbird
Brewer's Blackbird,Brewer's Blackbird
Great-tailed Grackle,Great-tailed Grackle
blackbird sp.,blackbird sp.
Black-and-white Warbler,Black-and-white Warbler
Prothonotary Warbler,Prothonotary Warbler
Tennessee Warbler,Tennessee Warbler
Orange-crowned Warbler,Orange-crowned Warbler
Orange-crowned Warbler (Gray-headed),Orange-crowned Warbler (Gray-headed)
Orange-crowned Warbler (lutescens),Orange-crowned Warbler (lutescens)
Orange-crowned Warbler (sordida),Orange-crowned Warbler (sordida)
Nashville Warbler,Nashville Warbler
Virginia's Warbler,Virginia's Warbler
MacGillivray's Warbler,MacGillivray's Warbler
Common Yellowthroat,Common Yellowthroat
Northern Yellow Warbler,Northern Yellow Warbler
Blackpoll Warbler,Blackpoll Warbler
Palm Warbler,Palm Warbler
Palm Warbler (Western),Palm Warbler (Western)
Yellow-rumped Warbler,Yellow-rumped Warbler
Yellow-rumped Warbler (Myrtle),Yellow-rumped Warbler (Myrtle)
Yellow-rumped Warbler (Audubon's),Yellow-rumped Warbler (Audubon's)
Yellow-rumped Warbler (Myrtle x Audubon's),Yellow-rumped Warbler (Myrtle x Audubon's)
Black-throated Gray Warbler,Black-throated Gray Warbler
Townsend's Warbler,Townsend's Warbler
Hermit Warbler,Hermit Warbler
Wilson's Warbler,Wilson's Warbler
new world warbler sp.,new world warbler sp.
Summer Tanager,Summer Tanager
Western Tanager,Western Tanager
Black-headed Grosbeak,Black-headed Grosbeak
Blue Grosbeak,Blue Grosbeak
Lazuli Bunting,Lazuli Bunting
passerine sp.,passerine sp.
bird sp.,bird sp.
