Label,Code
Willow Flycatcher,Willow Flycatcher
Gray Flycatcher,Gray Flycatcher
Western Flycatcher,Western Flycatcher
Western Flycatcher (Pacific-slope),Western Flycatcher (Pacific-slope)
Empidonax sp.,Empidonax sp.
Black Phoebe,Black Phoebe
Eastern Phoebe,Eastern Phoebe
Say's Phoebe,Say's Phoebe
Vermilion Flycatcher,Vermilion Flycatcher
Vermilion Flycatcher (Northern),Vermilion Flycatcher (Northern)
Ash-throated Flycatcher,Ash-throated Flycatcher
Tropical Kingbird,Tropical Kingbird
Cassin's Kingbird,Cassin's Kingbird
Western Kingbird,Western Kingbird
Cassin's/Western Kingbird,Cassin's/Western Kingbird
yellow-bellied kingbird sp.,yellow-bellied kingbird sp.
Eastern Kingbird,Eastern Kingbird
Tyrannus sp.,Tyrannus sp.
Bell's Vireo,Bell's Vireo
Hutton's Vireo,Hutton's Vireo
Cassin's Vireo,Cassin's Vireo
Western Warbling Vireo,Western Warbling Vireo
Loggerhead Shrike,Loggerhead Shrike
California Scrub-Jay,California Scrub-Jay
American Crow,American Crow
Common Raven,Common Raven
crow/raven sp.,crow/raven sp.
Chestnut-backed Chickadee,Chestnut-backed Chickadee
Oak Titmouse,Oak Titmouse
Horned Lark,Horned Lark
Tree Swallow,Tree Swallow
Violet-green Swallow,Violet-green Swallow
Tree/Violet-green Swallow,Tree/Violet-green Swallow
Northern Rough-winged Swallow,Northern Rough-winged Swallow
Barn Swallow,Barn Swallow
Barn Swallow (American),Barn Swallow (American)
Cliff Swallow,Cliff Swallow
Cliff Swallow (pyrrhonota Group),Cliff Swallow (pyrrhonota Group)
swallow sp.,swallow sp.
Bushtit,Bushtit
Bushtit (Pacific),Bushtit (Pacific)
Wrentit,Wrentit
Swinhoe's White-eye,Swinhoe's White-eye
Ruby-crowned Kinglet,Ruby-crowned Kinglet
Golden-crowned Kinglet,Golden-crowned Kinglet
White-breasted Nuthatch,White-breasted Nuthatch
White-breasted Nuthatch (Pacific),White-breasted Nuthatch (Pacific)
Red-breasted Nuthatch,Red-breasted Nuthatch
Blue-gray Gnatcatcher,Blue-gray Gnatcatcher
Blue-gray Gnatcatcher (Western),Blue-gray Gnatcatcher (Western)
Rock Wren,Rock Wren
Northern House Wren,Northern House Wren
Northern House Wren (Northern),Northern House Wren (Northern)
Marsh Wren,Marsh Wren
Marsh Wren (paludicola Group),Marsh Wren (paludicola Group)
Bewick's Wren,Bewick's Wren
Bewick's Wren (spilurus Group),Bewick's Wren (spilurus Group)
wren sp.,wren sp.
European Starling,European Starling
California Thrasher,California Thrasher
Sage Thrasher,Sage Thrasher
Northern Mockingbird,Northern Mockingbird
Western Bluebird,Western Bluebird
Mountain Bluebird,Mountain Bluebird
Hermit Thrush,Hermit Thrush
Catharus sp.,Catharus sp.
American Robin,American Robin
Cedar Waxwing,Cedar Waxwing
Phainopepla,Phainopepla
Scaly-breasted Munia,Scaly-breasted Munia
House Sparrow,House Sparrow
American Pipit,American Pipit
House Finch,House Finch
Purple Finch,Purple Finch
Purple Finch (Western),Purple Finch (Western)
House/Purple Finch,House/Purple Finch
Red Crossbill,Red Crossbill
Pine Siskin,Pine Siskin
Lesser Goldfinch,Lesser Goldfinch
Lawrence's Goldfinch,Lawrence's Goldfinch
American Goldfinch,American Goldfinch
new world goldfinch sp.,new world goldfinch sp.
Lapland Longspur,Lapland Longspur
Grasshopper Sparrow,Grasshopper Sparrow
Chipping Sparrow,Chipping Sparrow
Clay-colored Sparrow,Clay-colored Sparrow
Brewer's Sparrow,Brewer's Sparrow
Lark Sparrow,Lark Sparrow
Lark Bunting,Lark Bunting
Fox Sparrow,Fox Sparrow
Fox Sparrow (Sooty),Fox Sparrow (Sooty)
Dark-eyed Junco,Dark-eyed Junco
